"factual_id";"name";"address";"address_extended";"po_box";"locality";"region";"post_town";"admin_region";"postcode";"country";"tel";"fax";"latitude";"longitude";"neighborhood";"website";"email";"category_ids";"category_labels";"status";"chain_name";"chain_id";"hours";"hours_display";"existence"
"1fb1a965-c7ca-4989-b15e-452f35bfe21d";"Greg Hirsch Appraisals";"1844 Marine Rd";"";"";"Saint Jacob";"IL";"";"";"62281";"us";"(618) 644-8307";"";"38.724271";"-89.768438";"";"";"";"";"";"1";"";"";"";"";"0.33946799189523597"
"1844d0ad-6924-4ad0-ab26-6a3cc013b938";"Smart Systems";"3924 Chesapeake Dr";"";"";"Charlotte";"NC";"";"";"28216";"us";"(704) 398-0777";"";"35.2733";"-80.869989";"[\"Biddleville\"]";"";"";"[\"206\"]";"[\"Services and Supplies\",\"Audiovisual\"]";"1";"";"";"";"";"0.5080387556495788"
"40a8d1b0-1b53-470b-b78d-c4a69a227d30";"Dr Leslie Aufseeser";"1700 Madison Ave";"Unit 28";"";"Lakewood";"NJ";"";"";"08701";"us";"(732) 703-6081";"(732) 905-5160";"40.108313";"-74.22146";"";"http://LocalPodiatry.com/profile/dr-leslie-aufseeser-lakewood-new-jersey";"";"[\"104\"]";"[\"Healthcare\",\"Podiatrists\"]";"1";"";"";"{\"monday\":[[\"9:00\",\"20:00\"]],\"tuesday\":[[\"9:00\",\"17:00\"]],\"thursday\":[[\"13:00\",\"17:00\"],[\"13:00\",\"17:00\"]],\"friday\":[[\"9:00\",\"17:00\"]]}";"Mon 9:00 AM-8:00 PM; Tue 9:00 AM-5:00 PM; Thu 1:00 PM-5:00 PM; Fri 9:00 AM-5:00 PM";"0.9735702292251188"
"2326f284-cc32-46be-a34d-2e9db40c3d06";"Wisconsin Municipal Mutual Ins Co.";"4785 Hayes Rd";"Ste 200";"";"Madison";"WI";"";"";"53704";"us";"(608) 246-3336";"";"43.138625";"-89.30008";"[\"East Side\"]";"";"";"";"";"1";"";"";"";"";"0.5437066627475232"
"08689b0f-897f-4890-bcbb-3c96b0a68c74";"Giant Food Store";"1055 Bustleton Pike";"";"";"Feasterville Trevose";"PA";"";"";"19053";"us";"(215) 396-3393";"";"40.151738";"-75.002091";"";"";"";"[\"171\"]";"[\"Retail\",\"Supermarkets and Groceries\"]";"1";"";"";"{\"monday\":[[\"00:00\",\"24:00\"]],\"tuesday\":[[\"00:00\",\"24:00\"]],\"wednesday\":[[\"00:00\",\"24:00\"]],\"thursday\":[[\"00:00\",\"24:00\"]],\"friday\":[[\"00:00\",\"24:00\"]],\"saturday\":[[\"00:00\",\"24:00\"]],\"sunday\":[[\"00:00\",\"24:00\"]]}";"Open Daily 12:00 AM-12:00 PM";"0.901890709583672"
"43e7eb80-bbe4-4fb7-afb4-6356cda87d89";"Pca Gunshop";"1500 N Kickapoo Ave";"";"";"Shawnee";"OK";"";"";"74804";"us";"(405) 273-1155";"";"35.347978";"-96.930087";"";"";"";"[\"383\"]";"[\"Sports and Recreation\",\"Gun Ranges\"]";"1";"";"";"";"";"0.24779691880933907"
"202c1a03-fbef-4b82-82b2-6f4e03a21b57";"CubeSmart Self Storage";"1100 E Madrid Ave";"";"";"Las Cruces";"NM";"";"";"88001";"us";"(575) 524-4343";"";"32.329466";"-106.774521";"";"http://www.cubesmart.com/new-mexico-self-storage/las-cruces-self-storage/40.html";"store0298@cubesmart.com";"";"";"1";"CubeSmart Self Storage";"283a7514-6c92-4b82-b83b-ead1d5c9dd8e";"";"";"0.6505590384698657"
"35e3ee40-da80-4c81-a4a1-037ee44d6423";"Beauvais Edouard";"175 Main St";"";"";"Easthampton";"MA";"";"";"01027";"us";"(413) 527-8308";"(413) 587-3268";"42.268062";"-72.675491";"";"";"";"[\"76\"]";"[\"Healthcare\",\"Mental Health\"]";"1";"";"";"";"";"0.8188994424118032"
"3a183589-a0b0-4f09-b696-2894a1501af0";"Results The Gym";"315 G St SE";"";"";"Washington";"DC";"";"";"20003";"us";"(202) 234-5678";"(202) 543-0999";"";"";"[\"Southeast Washington\",\"Near Southeast\",\"Capitol Hill\",\"Eastern Market\",\"Homewood\",\"Admiral Heights\",\"Southeast\",\"Capitol Hill/Southeast\"]";"http://www.resultsthegym.com";"";"[\"385\"]";"[\"Sports and Recreation\",\"Gyms and Fitness Centers\"]";"1";"";"";"";"";"0.8729024877715706"
"4f742147-b6da-4509-aaae-1efe8d6c60ed";"Young's Garden";"305 E 10th St";"";"";"West Point";"GA";"";"";"31833";"us";"(706) 645-1772";"";"32.877445";"-85.176364";"";"";"";"[\"347\"]";"[\"Social\",\"Food and Dining\",\"Restaurants\"]";"1";"";"";"";"";"0.7505180779455634"
"30cc0ec6-1d82-4879-ab20-9a7d21e1c0ed";"Calvert Physical Therapy";"2003 Medical Pkwy";"";"";"Annapolis";"MD";"";"";"21401";"us";"(410) 257-5263";"";"38.989021";"-76.533427";"[\"Parole\",\"Greenbriar\"]";"";"";"";"";"1";"";"";"";"";"0.35680350757880236"
"08dc95aa-5002-4075-a1e0-c69d01a5772e";"Samana Hobart Zulu";"1600 Crain Hwy S";"Ste 408";"";"Glen Burnie";"MD";"";"";"21061";"us";"(410) 787-9404";"(410) 553-9341";"39.145549";"-76.631689";"";"";"";"[\"90\"]";"[\"Healthcare\",\"Physicians\",\"General Surgery\"]";"1";"";"";"";"";"0.6259729171839336"
"33cbb7d4-955e-434a-a742-fc8039f2584e";"Willowick Apartments";"10603 E Jewell Ave";"";"";"Aurora";"CO";"";"";"80012";"us";"(303) 752-3360";"";"39.682587";"-104.864359";"[\"Southeast\",\"Village East\"]";"http://www.willowickapartments.info";"";"[\"296\"]";"[\"Services and Supplies\",\"Real Estate\",\"Apartments, Condos, and Houses\"]";"1";"";"";"";"";"0.8928782044690015"
"4f82fa09-1171-4068-be83-d0574e7d3c81";"Forrest Meat Processing";"725 S Eagle St";"";"";"Norwood";"MO";"";"";"65717";"us";"(417) 746-4111";"(417) 746-4853";"37.097231";"-92.418765";"";"http://forrestfinemeat.com";"";"[\"443\"]";"[\"Retail\",\"Food and Beverage\",\"Meat and Seafood\"]";"1";"";"";"{\"monday\":[[\"8:00\",\"17:00\"]],\"tuesday\":[[\"8:00\",\"17:00\"]],\"wednesday\":[[\"8:00\",\"17:00\"]],\"thursday\":[[\"8:00\",\"17:00\"]],\"friday\":[[\"9:00\",\"17:00\"]],\"saturday\":[[\"8:00\",\"12:00\"]]}";"Mon-Thu 8:00 AM-5:00 PM; Fri 9:00 AM-5:00 PM; Sat 8:00 AM-12:00 PM";"0.8702098727060105"
"0dea96ef-5e77-429a-9d39-33a61ebaf9eb";"Granville Carriage Co.";"3354 Battee Rd";"";"";"Granville";"OH";"";"";"43023";"us";"(740) 602-0984";"";"40.112907";"-82.565019";"";"http://www.granvillecarriage.com";"dkjcarriage@windstream.net";"[\"439\"]";"[\"Travel\",\"Tourist Information and Services\"]";"1";"";"";"";"";"0.563483344029375"
"2bb058c8-5300-4536-9c8b-8090e6f7088b";"Edone and Graham";"1500 E Little Creek Rd";"Ste 302";"";"Norfolk";"VA";"";"";"23518";"us";"(757) 588-6675";"";"36.916442";"-76.233631";"";"";"";"[\"220\"]";"[\"Services and Supplies\",\"Financial\",\"Accounting and Bookkeeping\"]";"1";"";"";"";"";"0.331041308416528"
"0f7b0f30-0efc-425c-9ceb-043dadf6e11a";"Hooper-Holmes Bureau";"340 Granite St";"Ste 200";"";"Manchester";"NH";"";"";"03102";"us";"(603) 625-8662";"";"42.983647";"-71.473919";"[\"Riverwalk Place\"]";"http://www.hooperholmes.com";"";"";"";"1";"";"";"";"";"0.45032516530375755"
"136c3355-ea2f-486b-824a-e461a2494414";"James River Tile and Stone Art";"1657 W Broad St";"Unit 3A";"";"Richmond";"VA";"";"";"23220";"us";"(804) 285-2495";"";"37.561161";"-77.468393";"[\"The Fan\",\"Monument Avenue\",\"Near West\"]";"http://www.jamesrivertile.com";"";"[\"235\"]";"[\"Services and Supplies\",\"Home Improvement\"]";"1";"";"";"";"";"0.7872759786440829"
"17f72949-6d9a-41e5-a0ad-838aae9e0a86";"Memphis Area Teachers Cu";"1364 N Watkins St";"";"";"Memphis";"TN";"";"";"38108";"us";"(901) 385-5200";"";"35.175965";"-90.008045";"";"";"";"[\"221\"]";"[\"Services and Supplies\",\"Financial\",\"Banking and Finance\"]";"1";"";"";"";"";"0.2557296177536314"
"1654721e-1b49-491b-880e-c65eb7e63777";"Juliet's Beauty Salon";"79 Sproat St";"";"";"Middletown";"NY";"";"";"10940";"us";"(845) 343-7182";"";"41.457036";"-74.405731";"";"";"";"[\"277\"]";"[\"Services and Supplies\",\"Personal Care\"]";"1";"";"";"";"";"0.28815314464336056"
"11f7e475-d9bc-453b-867c-a4603f6f887d";"McDonald's";"1959 Whitten Rd";"";"";"Memphis";"TN";"";"";"38133";"us";"(901) 377-3506";"";"35.178821";"-89.837043";"[\"Appling\"]";"http://www.mctennessee.com/34255";"";"[\"348\"]";"[\"Social\",\"Food and Dining\",\"Restaurants\",\"American\"]";"1";"McDonald's";"ab4a3530-d68a-012e-5619-003048cad9da";"{\"tuesday\":[[\"5:00\",\"14:00\"]],\"wednesday\":[[\"6:00\",\"13:00\"]],\"thursday\":[[\"5:00\",\"13:00\"],[\"19:00\",\"20:00\"]],\"friday\":[[\"5:00\",\"13:00\"],[\"15:00\",\"16:00\"],[\"19:00\",\"23:00\"]],\"saturday\":[[\"7:00\",\"10:00\"]],\"sunday\":[[\"7:00\",\"12:00\"]]}";"Tue 5:00 AM-2:00 PM; Wed 6:00 AM-1:00 PM; Thu 5:00 AM-1:00 PM, 7:00 PM-8:00 PM; Fri 5:00 AM-1:00 PM, 3:00 PM-4:00 PM, 7:00 PM-11:00 PM; Sat 7:00 AM-10:00 AM; Sun 7:00 AM-12:00 PM";"0.9423813615149953"
"0df16eb3-0dd3-4fa0-bf35-0f85a1742fcc";"Studio 3";"2902 Cleveland Blvd";"";"";"Caldwell";"ID";"";"";"83605";"us";"(208) 455-6245";"";"43.649006";"-116.667225";"";"";"";"";"";"1";"";"";"";"";"0.393284661220962"
"2af54131-6326-4fe4-a23c-3c38f57e6fa2";"Coastal Bend Rent A Car";"10417 Leopard St";"";"";"Corpus Christi";"TX";"";"";"78410";"us";"(361) 242-2943";"";"27.837604";"-97.572093";"";"";"";"[\"421\"]";"[\"Transportation\",\"Taxi and Car Services\",\"Car and Truck Rentals\"]";"1";"";"";"";"";"0.25512672723888347"
"08e39d63-878b-4b08-8cdf-94e1c9aa89e4";"Atlanta Calibration Center";"311 Scenic Hwy";"";"";"Lawrenceville";"GA";"";"";"30046";"us";"(770) 237-3332";"";"33.938032";"-83.99374";"";"";"";"";"";"1";"";"";"";"";"0.2757914972925429"
"0259d874-9963-4fc2-b057-9064e76441ec";"Don's Tv and Appliance Center";"808 Ligonier St";"";"";"Latrobe";"PA";"";"";"15650";"us";"(724) 537-5053";"(724) 537-7675";"40.316894";"-79.385197";"[\"West Latrobe\"]";"";"";"[\"133\"]";"[\"Retail\",\"Computers and Electronics\"]";"1";"";"";"";"";"0.5133943708820483"
"40b3bc5e-1a54-45dd-a452-25047b8f1947";"Paws On the Runway";"1534 Silver Sunset Dr";"";"";"Henderson";"NV";"";"";"89052";"us";"(702) 240-7297";"";"35.972955";"-115.126116";"[\"Seven Hills\",\"Downtown\",\"Midway\"]";"http://www.pawsontherunway.com";"";"[\"167\"]";"[\"Retail\",\"Pets\"]";"1";"";"";"";"";"0.46052356178912224"
"18cc4a68-a403-4274-86f3-83a96ed83899";"Tazz Networking";"4 Davol Sq";"";"";"Providence";"RI";"";"";"02903";"us";"(401) 751-9300";"";"41.81736";"-71.405655";"";"";"";"";"";"1";"";"";"";"";"0.4874044236090741"
"4f990891-ad23-4bb2-801a-efccccc8ef6f";"Harp's Farm Market and Nursery";"1692 Highway 92 S";"";"";"Fayetteville";"GA";"";"";"30215";"us";"(770) 461-1821";"(770) 719-9588";"33.363973";"-84.413114";"";"";"";"[\"164\"]";"[\"Retail\",\"Nurseries and Garden Centers\"]";"1";"";"";"";"";"0.790259140002827"
"208267ac-a87a-4688-9495-56bcd34ecf01";"Deborrah Molo, RN";"4500 S Lancaster Rd";"";"";"Dallas";"TX";"";"";"75216";"us";"(214) 857-1748";"(214) 857-1719";"32.694571";"-96.793183";"";"";"";"[\"79\"]";"[\"Healthcare\",\"Nurses\"]";"1";"";"";"";"";"0.7082183679171875"
"1e439bbd-fbac-4219-8651-7f14a8739586";"Smoked Out Lounge";"296 E US Highway 20";"";"";"Michigan City";"IN";"";"";"46360";"us";"(219) 512-4455";"";"41.68035";"-86.88924";"";"http://www.myspace.com/hookacafehobart";"";"[\"333\"]";"[\"Social\",\"Entertainment\",\"Music and Show Venues\"]";"1";"";"";"";"";"0.8462482935764595"
"1ea969fb-cb3a-47cd-97c7-5e1172113ccc";"Fastenal Co.";"635 New Park Ave";"";"";"West Hartford";"CT";"";"";"06110";"us";"(860) 232-3278";"";"41.732681";"-72.727262";"[\"Southwest\",\"Southwest Hartford\"]";"http://www.fastenal.com";"";"[\"246\"]";"[\"Services and Supplies\",\"Home Improvement\",\"Hardware and Services\"]";"1";"";"";"";"";"0.7689758637515994"
"0df68086-da98-45f6-8c27-296f279ba52e";"Bradley Tim";"43902 Woodward Ave";"";"";"Bloomfield Hills";"MI";"";"";"48302";"us";"(248) 335-4000";"";"42.610513";"-83.270515";"";"";"";"[\"269\"]";"[\"Services and Supplies\",\"Legal\"]";"1";"";"";"";"";"0.4119041325270571"
"2310c12c-c5ad-4685-a0a2-b1f42189ae01";"Galtelli Ralph";"1621 Union Ave";"";"";"Memphis";"TN";"";"";"38104";"us";"";"";"35.13586";"-90.007476";"[\"Midtown\",\"Cooper-Young\"]";"";"";"";"";"1";"";"";"";"";"0.542671527538459"
"1360fa3e-3a7c-40fb-b64f-baf15f91d08c";"American Tap Room";"1811 Library St";"";"";"Reston";"VA";"";"";"20190";"us";"(703) 834-0400";"(703) 834-1179";"38.958709";"-77.358567";"[\"Reston Town Center\",\"Sunset Hills\"]";"http://www.americantaproom.com";"customerservice@thompsonhospitality.com";"[\"348\"]";"[\"Social\",\"Food and Dining\",\"Restaurants\",\"American\"]";"1";"";"";"{\"monday\":[[\"11:00\",\"16:00\",\"Lunch\"],[\"16:00\",\"24:00\",\"Dinner\"]],\"tuesday\":[[\"11:00\",\"16:00\",\"Lunch\"],[\"16:00\",\"24:00\",\"Dinner\"]],\"wednesday\":[[\"11:00\",\"16:00\",\"Lunch\"],[\"16:00\",\"24:00\",\"Dinner\"]],\"thursday\":[[\"11:00\",\"16:00\",\"Lunch\"],[\"16:00\",\"24:00\",\"Dinner\"]],\"friday\":[[\"11:00\",\"16:00\",\"Lunch\"],[\"16:00\",\"24:00\",\"Dinner\"]],\"saturday\":[[\"16:00\",\"24:00\",\"Dinner\"],[\"11:00\",\"16:00\",\"Brunch\"]],\"sunday\":[[\"16:00\",\"24:00\",\"Dinner\"],[\"10:00\",\"16:00\",\"Brunch\"]]}";"Mon-Sat 11:00 AM-12:00 PM; Sun 10:00 AM-12:00 PM";"0.9427504470787468"
"0dfc2fda-c4eb-4eed-b93c-53fd0b8ad902";"Penn Area Library";"2001 Municipal Ct";"";"P.O. Box 499";"Harrison City";"PA";"";"";"15636";"us";"(724) 744-4414";"(724) 744-2172";"40.35783";"-79.650703";"[\"Irwin\"]";"http://www.pennlib.org";"";"[\"52\"]";"[\"Community and Government\",\"Public and Social Services\"]";"1";"";"";"{\"monday\":[[\"6:00\",\"7:00\"],[\"14:00\",\"15:00\"],[\"18:00\",\"20:00\"]],\"tuesday\":[[\"6:00\",\"7:00\"],[\"20:00\",\"22:00\"]],\"wednesday\":[[\"6:00\",\"7:00\"]],\"thursday\":[[\"6:00\",\"7:00\"],[\"17:00\",\"21:00\"]],\"friday\":[[\"6:00\",\"7:00\"]],\"sunday\":[[\"7:00\",\"15:00\"],[\"18:00\",\"21:00\"]]}";"Mon 6:00 AM-7:00 AM, 2:00 PM-3:00 PM, 6:00 PM-8:00 PM; Tue 6:00 AM-7:00 AM, 8:00 PM-10:00 PM; Wed 6:00 AM-7:00 AM; Thu 6:00 AM-7:00 AM, 5:00 PM-9:00 PM; Fri 6:00 AM-7:00 AM; Sun 7:00 AM-3:00 PM, 6:00 PM-9:00 PM";"0.9614889737729231"
"30e86dfe-a329-4f97-ab3f-68e6015c81c3";"Wright Lumber Co.";"1590 High St";"";"";"Eugene";"OR";"";"";"97401";"us";"(541) 338-9006";"";"44.042291";"-123.088207";"[\"West University\"]";"";"";"[\"179\"]";"[\"Services and Supplies\",\"Industrial Machinery and Vehicles\"]";"1";"";"";"";"";"0.3321038222172951"
"230ab553-5ce3-4d9c-b026-c28b73f331fb";"Harrisburg City Treasurer Office";"10 N 2nd St";"Ste 103";"";"Harrisburg";"PA";"";"";"17101";"us";"(717) 255-3046";"";"40.259809";"-76.8824";"[\"Fox Ridge Court\"]";"http://www.mafea.org";"";"[\"122\"]";"[\"Landmarks\",\"Parks\",\"Urban Parks\"]";"1";"";"";"";"";"0.7834239691900436"
"024e0a8a-4daa-4b44-89f8-a1216c3747c3";"Oliveira Construction";"2703 Rembrandt Pl";"";"";"Modesto";"CA";"";"";"95356";"us";"(209) 572-4010";"";"37.696197";"-121.045237";"[\"Northwest Modesto\"]";"";"";"[\"239\"]";"[\"Services and Supplies\",\"Home Improvement\",\"Contractors\"]";"1";"";"";"";"";"0.2771604331691824"
"070152e1-3a57-4aab-b777-aa31d99ed633";"David Novick";"1 General St";"";"P.O. Box 615";"Lawrence";"MA";"";"";"01841";"us";"(978) 946-8103";"(978) 946-8067";"42.70909";"-71.1486";"[\"South Lawrence\"]";"";"";"[\"101\"]";"[\"Healthcare\",\"Physicians\",\"Radiologists\"]";"1";"";"";"";"";"0.7761458944223656"
